"","Analysis_No","Site","Date","Zone","Replicate","Depth","RHZ","RHZ_Rep","Sample_ID","SO4_ppm","Cl_ppm","SO4_mM","Cl_mM","salinity"
"36","130","MSM","202311","WC","RHZ","SF","Collar","5","130_MSM_202311_WC_RHZ_SF_Collar_5",1046.7724,9517.9503,32.6504179663132,268.489430183357,17.1989621921
"37","131","MSM","202311","WC","RHZ","LysA","131","MSM","131_MSM_202311_WC_RHZ_LysA",1320.9987,10110.144,41.2039519650655,285.194471086037,18.269056208
"38","132","MSM","202311","WC","RHZ","LysC","132","MSM","132_MSM_202311_WC_RHZ_LysC",1037.3255,9465.8957,32.355754834685,267.021035260931,17.1048995299
"39","14","MSM","202311","TR","LysC","10cm","14","MSM","14_MSM_202311_TR_LysC_10cm",807.7148,7903.4132,25.193849033063,222.945365303244,14.2814936524
"40","15","MSM","202311","TR","LysC","20cm","15","MSM","15_MSM_202311_TR_LysC_20cm",518.1813,6629.8164,16.1628602620087,187.018798307475,11.9801042348
"41","16","MSM","202311","TR","LysC","45cm","16","MSM","16_MSM_202311_TR_LysC_45cm",589.952,5492.6976,18.4014971927636,154.942104372355,9.9253305632
"42","17","MSM","202311","WC","LysA","10cm","17","MSM","17_MSM_202311_WC_LysA_10cm",1286.9748,10051.5854,40.1426949469744,283.542606488011,18.1632408178
"43","18","MSM","202311","WC","LysA","20cm","18","MSM","18_MSM_202311_WC_LysA_20cm",1103.6002,9465.8311,34.4229631940112,267.019212976023,17.1047827977
"44","19","MSM","202311","WC","LysB","10cm","19","MSM","19_MSM_202311_WC_LysB_10cm",966.5694,9220.4093,30.1487648159701,260.096172073343,16.6613056051
"45","2","MSM","202311","UP","LysA","45cm","2","MSM","2_MSM_202311_UP_LysA_45cm",144.9018,1881.8531,4.51970679975047,53.0847136812412,3.4005345517
