[Header]	
System	TOCL TNML ASIL 9ML	
S/W Version	1.00	
User	sjw	
Date/Time	5/26/2026 9:15:29 AM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Conc.	Result	Excluded	Inj. Vol.	
Standard	NPOC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260521.2026_05_21_16_15_23.cal		1.00		5/21/2026 5:04:56 PM	2	5	NPOC	2.569	0.5000	 	1	50	
Standard	NPOC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260521.2026_05_21_16_15_23.cal		1.00		5/21/2026 5:15:45 PM	3	1	NPOC	4.923	1.000	 	0	50	
Standard	NPOC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260521.2026_05_21_16_15_23.cal		1.00		5/21/2026 5:19:34 PM	3	2	NPOC	4.948	1.000	 	0	50	
Standard	NPOC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260521.2026_05_21_16_15_23.cal		1.00		5/21/2026 5:23:23 PM	3	3	NPOC	5.021	1.000	 	0	50	
Standard	NPOC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260521.2026_05_21_16_15_23.cal		1.00		5/21/2026 5:34:51 PM	4	1	NPOC	20.72	5.000	 	0	50	
Standard	NPOC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260521.2026_05_21_16_15_23.cal		1.00		5/21/2026 5:38:44 PM	4	2	NPOC	20.54	5.000	 	0	50	
Standard	NPOC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260521.2026_05_21_16_15_23.cal		1.00		5/21/2026 5:42:37 PM	4	3	NPOC	20.94	5.000	 	0	50	
Standard	NPOC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260521.2026_05_21_16_15_23.cal		1.00		5/21/2026 5:53:34 PM	5	1	NPOC	41.46	10.00	 	0	50	
Standard	NPOC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260521.2026_05_21_16_15_23.cal		1.00		5/21/2026 5:57:25 PM	5	2	NPOC	41.11	10.00	 	0	50	
Standard	NPOC	CalCurve_IC	Untitled	C:\TOC-L\CalCurves\BGC_NPOC100_20260521.2026_05_21_16_15_23.cal		1.00		5/21/2026 6:01:14 PM	5	3	NPOC	40.55	10.00	 	0	50	
